原始词,读音（汉字）,读音（拼音）,首字音重复数量,首字音重复词汇列表
莲藕,莲藕,lian2ou3,2,"莲藕, 廉颇"
廉颇,廉颇,lian2po3,2,"莲藕, 廉颇"
篮球,篮球,lan2qiu2,3,"篮筐, 蓝莓, 篮球"
猎人,猎,lie4,1,
炉石,炉,lu2,1,
烙铁,烙,lao4,1,
卤味,卤味,lu3wei4,2,"鲁班, 卤味"
龙虾,龙,long2,1,
路由,路由,lu4you2,3,"路灯, 露娜, 路由"
蜡烛,蜡烛,la4zhu2,2,"辣, 蜡烛"
马,马,ma3,4,"马力, 马, 马车, 马可"
面包,面包,mian4bao1,2,"面包, 面粉"
马车,马车,ma3che1,4,"马力, 马, 马车, 马可"
麦当,麦,mai4,1,
木耳,木耳,mu4er3,3,"木耳, 木兰, 木头"
面粉,面粉,mian4fen3,2,"面包, 面粉"
蘑菇,蘑菇,mo2gu1,4,"蘑菇, 魔女, 馍, 摩托"
麻花,麻花,ma2hua1,2,"麻花, 麻将"
米,米,mi3,3,"米, 米线, 芈月"
麻将,麻将,ma2jiang1,2,"麻花, 麻将"
马可,马可,ma3ke3,4,"马力, 马, 马车, 马可"
木兰,木兰,mu4lan2,3,"木耳, 木兰, 木头"
魔女,魔女,mo2nv3,4,"蘑菇, 魔女, 馍, 摩托"
馍,馍,mo2,4,"蘑菇, 魔女, 馍, 摩托"
馒片,馒片,man2pian4,2,"馒片, 蛮王"
梦奇,梦,meng4,1,
鸣人,鸣,ming2,1,
秘石,秘,mi4,1,
摩托,摩托,mo2tuo1,4,"蘑菇, 魔女, 馍, 摩托"
蛮王,蛮王,man2wang2,2,"馒片, 蛮王"
米线,米线,mi3xian4,3,"米, 米线, 芈月"
芈月,芈月,mi3yue4,3,"米, 米线, 芈月"
墨子,墨,mo4,1,
盐,盐,yan2,1,
乃冰,乃冰,nai3bing1,3,"乃冰, 奶瓶, 奶糖"
鸟巢,鸟巢,niao3chao2,2,"鸟巢, 鸟屎"
牛顿,牛顿,niu2dun4,4,"牛顿, 牛角, 牛魔, 牛乳"
女儿,女儿,nv3er2,2,"女儿, 女娲"
南孚,南孚,nan2fu2,2,"南孚, 南瓜"
南瓜,南瓜,nan2gua1,2,"南孚, 南瓜"
霓虹,霓虹,ni2hong2,3,"霓虹, 泥, 尼欧"
泥,泥,ni2,3,"霓虹, 泥, 尼欧"
牛角,牛角,niu2jiao3,4,"牛顿, 牛角, 牛魔, 牛乳"
娜可,娜,na4,1,
奴隶,奴,nu2,1,
牛魔,牛魔,niu2mo2,4,"牛顿, 牛角, 牛魔, 牛乳"
尼欧,尼欧,ni2ou1,3,"霓虹, 泥, 尼欧"
奶瓶,奶瓶,nai3ping2,3,"乃冰, 奶瓶, 奶糖"
暖气,暖,nuan3,1,
牛乳,牛乳,niu2ru3,4,"牛顿, 牛角, 牛魔, 牛乳"
鸟屎,鸟屎,niao3shi3,2,"鸟巢, 鸟屎"
奶糖,奶糖,nai3tang2,3,"乃冰, 奶瓶, 奶糖"
女娲,女娲,nv3wa1,2,"女儿, 女娲"
孽蜥,孽,nie4,1,
内衣,内衣,nei4yi1,2,"内存, 内衣"
哪吒,哪,ne2,1,
肥皂,肥皂,fei2zao4,2,"肥牛, 肥皂"
撞,撞,zhuang4,1,
蛋炒,蛋炒,dan4chao3,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
蛋树,蛋树,dan4shu4,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
鞋,鞋,xie2,3,"鞋, 鞋垫, 鞋套"
藕粉,藕,ou3,1,
显卡,显,xian3,1,
欧皇,欧皇,ou1huang2,2,"欧皇, 欧元"
硬币,硬币,ying4bi4,2,"硬币, 硬盘"
蛋卷,蛋卷,dan4juan3,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
粘钩,粘,zhan1,1,
泳池,泳,yong3,1,
厚木,厚,hou4,1,
洋葱,洋葱,yang2cong1,2,"洋葱, 杨戬"
丹皮,丹,dan1,1,
望远,望,wang4,1,
森林,森,sen1,1,
蛋酥,蛋酥,dan4su1,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
奥特,奥特,ao4te4,3,"奥利, 奥运, 奥特"
守望,守望,shou3wang4,3,"手铐, 手表, 守望"
公牛,公牛,gong1niu2,2,"公交, 公牛"
欧元,欧元,ou1yuan2,2,"欧皇, 欧元"
蛋仔,蛋仔,dan4zai3,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
钱包,钱包,qian2bao1,2,"钱包, 潜艇"
皮鞭,皮鞭,pi2bian1,5,"皮鞭, 皮, 皮筋, 皮虾, 皮衣"
瓢虫,瓢,piao2,1,
充电,充,chong1,1,
优盘,优盘,you1pan2,2,"优盘, 悠"
鹏飞,鹏,peng2,1,
排骨,排,pai2,1,
喷火,喷火,pen1huo3,4,"喷气, 喷火, 喷泉, 喷雾"
皮,皮,pi2,5,"皮鞭, 皮, 皮筋, 皮虾, 皮衣"
皮筋,皮筋,pi2jin1,5,"皮鞭, 皮, 皮筋, 皮虾, 皮衣"
扑克,扑,pu1,1,
破轮,破轮,po4lun2,2,"破轮, 破"
泡面,泡,pao4,1,
贫女,贫,pin2,1,
破,破,po4,2,"破轮, 破"
喷泉,喷泉,pen1quan2,4,"喷气, 喷火, 喷泉, 喷雾"
飘柔,飘,piao1,1,
披萨,披,pi1,1,
葡萄,葡,pu2,1,
喷雾,喷雾,pen1wu4,4,"喷气, 喷火, 喷泉, 喷雾"
皮虾,皮虾,pi2xia1,5,"皮鞭, 皮, 皮筋, 皮虾, 皮衣"
皮衣,皮衣,pi2yi1,5,"皮鞭, 皮, 皮筋, 皮虾, 皮衣"
盘子,盘,pan2,1,
恰,恰,qia4,1,
墙壁,墙,qiang2,1,
芹菜,芹菜,qin2cai4,3,"琴凳, 芹菜, 琴行"
屏幕,屏,ping2,1,
企鹅,企鹅,qi3e2,2,"企鹅, 乞丐"
囚徒,囚徒,qiu2tu2,3,"囚徒, 球, 球拍"
乞丐,乞丐,qi3gai4,2,"企鹅, 乞丐"
琴行,琴行,qin2xing2,3,"琴凳, 芹菜, 琴行"
无线,无,wu2,1,
青椒,青椒,qing1jiao1,3,"青椒, 青梅, 青蛙"
秋裤,秋裤,qiu1ku4,3,"秋裤, 丘陵, 蚯蚓"
丘陵,丘陵,qiu1ling2,3,"秋裤, 丘陵, 蚯蚓"
青梅,青梅,qing1mei2,3,"青椒, 青梅, 青蛙"
气囊,气囊,qi4nang2,2,"气囊, 器械"
球,球,qiu2,3,"囚徒, 球, 球拍"
球拍,球拍,qiu2pai1,3,"囚徒, 球, 球拍"
二维,二维,er4wei2,3,"二锅, 二胡, 二维"
骑手,骑,qi2,1,
潜艇,潜艇,qian2ting3,2,"钱包, 潜艇"
青蛙,青蛙,qing1wa1,3,"青椒, 青梅, 青蛙"
器械,器械,qi4xie4,2,"气囊, 器械"
蚯蚓,蚯蚓,qiu1yin3,3,"秋裤, 丘陵, 蚯蚓"
茄子,茄,qie2,1,
兔,兔,tu4,1,
换电,换,huan4,1,
肉串,肉串,rou4chuan4,5,"肉串, 肉酱, 肉, 肉松, 肉丸"
柔道,柔,rou2,1,
热,热,re4,2,"热, 热狗"
润肺,润,run4,1,
热狗,热狗,re4gou3,2,"热, 热狗"
弱化,弱,ruo4,1,
日,日,ri4,4,"日本, 日, 日期, 日向"
肉酱,肉酱,rou4jiang4,5,"肉串, 肉酱, 肉, 肉松, 肉丸"
入口,入口,ru4kou3,2,"入口, 入殓"
入殓,入殓,ru4lian4,2,"入口, 入殓"
绒毛,绒毛,rong2mao2,2,"绒毛, 熔岩"
雨,雨,yu3,1,
肉,肉,rou4,5,"肉串, 肉酱, 肉, 肉松, 肉丸"
软盘,软,ruan3,1,
日期,日期,ri4qi1,4,"日本, 日, 日期, 日向"
肉松,肉松,rou4song1,5,"肉串, 肉酱, 肉, 肉松, 肉丸"
人体,人,ren2,1,
肉丸,肉丸,rou4wan2,5,"肉串, 肉酱, 肉, 肉松, 肉丸"
日向,日向,ri4xiang4,4,"日本, 日, 日期, 日向"
熔岩,熔岩,rong2yan2,2,"绒毛, 熔岩"
乳猪,乳,ru3,1,
孙膑,孙,sun1,1,
酸菜,酸菜,suan1cai4,2,"酸菜, 酸奶"
存储,存,cun2,1,
小屏,小,xiao3,1,
顺丰,顺,shun4,1,
水管,水管,shui3guan3,3,"水冷, 水管, 水龙"
售货,售,shou4,1,
丝,丝,si1,2,"丝, 丝巾"
丝巾,丝巾,si1jin1,2,"丝, 丝巾"
声卡,声,sheng1,1,
水龙,水龙,shui3long2,3,"水冷, 水管, 水龙"
沙漠,沙,sha1,1,
酸奶,酸奶,suan1nai3,2,"酸菜, 酸奶"
馊,馊,sou1,1,
算盘,算,suan4,1,
四驱,四,si4,1,
散热,散,san4,1,
食堂,食堂,shi2tang2,2,"实体, 食堂"
三文,三,san1,1,
摄像,摄,she4,1,
山羊,山,shan1,1,
梳子,梳,shu1,1,
塔,塔,ta3,1,
铁板,铁板,tie3ban3,3,"铁塔, 铁板, 铁路"
糖醋,糖,tang2,1,
台灯,台灯,tai2deng1,3,"台灯, 台阶, 台球"
天鹅,天鹅,tian1e2,4,"天鹅, 天河, 天平, 天使"
掏粪,掏,tao1,1,
虎,虎,hu3,1,
天河,天河,tian1he2,4,"天鹅, 天河, 天平, 天使"
电梯,电梯,dian4ti1,2,"电话, 电梯"
台阶,台阶,tai2jie1,3,"台灯, 台阶, 台球"
坦克,坦,tan3,1,
铁路,铁路,tie3lu4,3,"铁塔, 铁板, 铁路"
汤姆,汤,tang1,1,
鸵鸟,鸵,tuo2,1,
桶,桶,tong3,1,
天平,天平,tian1ping2,4,"天鹅, 天河, 天平, 天使"
台球,台球,tai2qiu2,3,"台灯, 台阶, 台球"
铜人,铜,tong2,1,
天使,天使,tian1shi3,4,"天鹅, 天河, 天平, 天使"
套娃,套,tao4,1,
拖鞋,拖,tuo1,1,
太乙,太,tai4,1,
体重,体重,ti3zhong4,2,"体重, 体感"
娃,娃,wa2,1,
围脖,围脖,wei2bo2,2,"围脖, 围裙"
厕所,厕,ce4,1,
木头,木头,mu4tou2,3,"木耳, 木兰, 木头"
玮,玮,wei3,1,
汪峰,汪,wang1,1,
乌龟,乌龟,wu1gui1,2,"乌龟, 巫师"
万花,万,wan4,1,
体感,体感,ti3gan3,2,"体重, 体感"
文具,文具,wen2ju4,2,"文具, 蚊香"
悟空,悟,wu4,1,
威廉,威廉,wei1lian2,2,"威廉, 微软"
外卖,外卖,wai4mai4,2,"外星, 外卖"
蜗牛,蜗,wo1,1,
玩偶,玩,wan2,1,
卧铺,卧,wo4,1,
围裙,围裙,wei2qun2,2,"围脖, 围裙"
微软,微软,wei1ruan3,2,"威廉, 微软"
巫师,巫师,wu1shi1,2,"乌龟, 巫师"
舞台,舞,wu3,1,
蚊香,蚊香,wen2xiang1,2,"文具, 蚊香"
王悦,王,wang2,1,
袜子,袜,wa4,1,
虾,虾,xia1,2,"虾, 虾滑"
雪碧,雪,xue3,1,
咸菜,咸,xian2,1,
鞋垫,鞋垫,xie2dian4,3,"鞋, 鞋垫, 鞋套"
蟹,蟹,xie4,1,
西服,西服,xi1fu2,3,"西服, 西瓜, 吸"
西瓜,西瓜,xi1gua1,3,"西服, 西瓜, 吸"
虾滑,虾滑,xia1hua2,2,"虾, 虾滑"
吸,吸,xi1,3,"西服, 西瓜, 吸"
香蕉,香蕉,xiang1jiao1,4,"香港, 香蕉, 相框, 箱子"
相框,相框,xiang1kuang1,4,"香港, 香蕉, 相框, 箱子"
项链,项链,xiang4lian4,3,"项链, 橡皮, 象棋"
熊猫,熊猫,xiong2mao1,2,"熊猫, 熊"
学宁,学,xue2,1,
熊,熊,xiong2,2,"熊猫, 熊"
橡皮,橡皮,xiang4pi2,3,"项链, 橡皮, 象棋"
象棋,象棋,xiang4qi2,3,"项链, 橡皮, 象棋"
杏仁,杏仁,xing4ren2,2,"杏仁, 幸运"
血手,血,xue4,1,
鞋套,鞋套,xie2tao4,3,"鞋, 鞋垫, 鞋套"
信物,信,xin4,1,
幸运,幸运,xing4yun4,2,"杏仁, 幸运"
箱子,箱子,xiang1zi,4,"香港, 香蕉, 相框, 箱子"
鸭,鸭,ya1,1,
元宝,元宝,yuan2bao3,2,"元宝, 元康"
烟囱,烟,yan1,1,
熨斗,熨,yun4,1,
椰,椰,ye1,1,
渔夫,渔夫,yu2fu1,5,"鱼竿, 渔夫, 渔女, 鱼肉, 渔网"
牙膏,牙膏,ya2gao1,2,"牙膏, 牙签"
银行,银,yin2,1,
姨,姨,yi2,3,"姨夫, 仪器, 姨"
杨戬,杨戬,yang2jian3,2,"洋葱, 杨戬"
元康,元康,yuan2kang1,2,"元宝, 元康"
月亮,月,yue4,1,
玉米,玉,yu4,1,
渔女,渔女,yu2nv3,5,"鱼竿, 渔夫, 渔女, 鱼肉, 渔网"
悠,悠,you1,2,"优盘, 悠"
硬盘,硬盘,ying4pan2,2,"硬币, 硬盘"
牙签,牙签,ya2qian1,2,"牙膏, 牙签"
鱼肉,鱼肉,yu2rou4,5,"鱼竿, 渔夫, 渔女, 鱼肉, 渔网"
钥匙,钥,yao4,1,
油条,油,you2,1,
渔网,渔网,yu2wang3,5,"鱼竿, 渔夫, 渔女, 鱼肉, 渔网"
音箱,音,yin1,1,
柚子,柚,you4,1,
藏獒,藏,zang4,1,
砧板,砧板,zhen1ban3,2,"砧板, 甄姬"
纸抽,纸抽,zhi3chou1,2,"纸抽, 指南"
子弹,子弹,zidan4,2,"子弹, 籽"
泽,泽,ze2,1,
张飞,张飞,zhang1fei1,3,"张飞, 张浩, 张伟"
诸葛,诸,zhu1,1,
张浩,张浩,zhang1hao4,3,"张飞, 张浩, 张伟"
籽,籽,zi3,2,"子弹, 籽"
甄姬,甄姬,zhen1ji1,2,"砧板, 甄姬"
钟馗,钟馗,zhong1kui2,2,"钟馗, 中秋"
栅栏,栅,zha4,1,
芝麻,芝,zhi1,1,
指南,指南,zhi3nan2,2,"纸抽, 指南"
帐篷,帐,zhang4,1,
中秋,中秋,zhong1qiu1,2,"钟馗, 中秋"
孜然,孜,zi1,1,
钻石,钻石,zuan1shi2,2,"钻戒, 钻石"
枕头,枕,zhen3,1,
张伟,张伟,zhang1wei3,3,"张飞, 张浩, 张伟"
自行,自,zi4,1,
赵云,赵,zhao4,1,
